*,now-1d,now,*,total,gt,500,Pipe QL
app_name=Oxam,now-1d,now,*,total,gt,0,Pipe QL
batch=batch-*,now-1d,now,*,total,gt,100,Pipe QL
min(zip) groupby batch,now-1d,now,*,total,,100,Pipe QL
Sunday,now-1d,now,*,total,gt,1,Pipe QL
hortensebaumbach@emard.io,now-1d,now,*,total,gt,0,Pipe QL
http_status>400,now-1d,now,*,total,gt,0,Pipe QL
cardinality(user_email),now-1d,now,total,*,,1,Pipe QL
"""https://picsum.photos/127/459""",now-1d,now,*,total,gt,0,Pipe QL
latency<18580 AND app_name=Stresscrawl,now-1d,now,*,total,gt,0,Pipe QL
"""MintCream""",now-1d,now,*,total,gt,500,Pipe QL
"(MintCream AND (""Thursday"" OR ""Monday""))",now-1d,now,*,total,gt,100,Pipe QL
"(MintCream AND (""Thursday"" OR ""Monday"")) | min(latency) groupby state",now-1d,now,*,total,gt,100,Pipe QL
latency<10000 AND latitude>0 AND longitude > 0,now-1d,now,*,total,gt,10,Pipe QL
200,now-1d,now,*,total,gt,100,Pipe QL
200 OR 500,now-1d,now,*,total,gt,100,Pipe QL
min(latency),now-1d,now,*,group:min(latency):*,eq,110,Pipe QL
"min(latency) groupby city, http_method",now-1d,now,*,group:min(latency):Boston:POST,eq,5479,Pipe QL
"select batch as bt",now-1d,now,*,total,gt,100,SQL
"select weekday",now-1d,now,*,total,gt,1,SQL
"select gender as bt, city as `ct` from ind-0",now-1d,now,*,total,gt,0,SQL
"select batch as bt order by batch",now-1d,now,*,total,gt,100,SQL
"select batch as bt order by batch desc",now-1d,now,*,total,gt,100,SQL
"select batch as bt order by batch asc",now-1d,now,*,total,gt,100,SQL
"{app_name=""Oxam""}",now-1d,now,*,total,gt,0,Log QL
"{batch=""batch-*""}",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} |= ""Sunday""",now-1d,now,*,total,gt,1,Log QL
"{batch=""batch-*""} | json",now-1d,now,*,total,gt,100,Log QL
"{gender=""female""} | http_status>400",now-1d,now,*,total,gt,0,Log QL
"{gender=""female"",city=""Fresno""} != ""batch-212""",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} | json",now-1d,now,*,total,gt,1,Log QL
"{gender=""female"",city=""Fresno""} | json city_life=""city"", single_gender=""gender""",now-1d,now,*,total,gt,100,Log QL
"{gender=""female"",city=""Fresno""} | logfmt city_life=""city"", single_gender=""gender""",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} | logfmt",now-1d,now,*,total,gt,1,Log QL
"count_over_time({batch=""batch-*""}[1d])", now-1d,now,*,total,gt,100,Log QL
app_name=Oxam,now-1d,now,*,total,gt,0,Splunk QL
search app_name=Oxam,now-1d,now,*,total,gt,0,Splunk QL
search Sunday,now-1d,now,*,total,gt,1,Splunk QL
search http_status>400,now-1d,now,*,total,gt,0,Splunk QL
search 200,now-1d,now,*,total,gt,100,Splunk QL
search 200 OR 500,now-1d,now,*,total,gt,100,Splunk QL
search latency<18580 AND app_name=Stresscrawl,now-1d,now,*,total,gt,0,Splunk QL
search MintCream AND Thursday OR Monday,now-1d,now,*,total,eq,212,Splunk QL
search (MintCream AND Thursday) OR Monday,now-1d,now,*,total,gt,212,Splunk QL
search    (   MintCream    AND   Thursday  )   OR   Monday,now-1d,now,*,total,gt,212,Splunk QL
search MintCream Thursday OR Monday,now-1d,now,*,total,eq,212,Splunk QL
search NOT (city!=Boston OR NOT weekday=Friday),now-1d,now,*,total,gt,100,Splunk QL
search batch=batch-*,now-1d,now,*,total,gt,100,Splunk QL
latency<10000 | search latitude>0 | search longitude>0,now-1d,now,*,total,gt,10,Splunk QL
latency<10000 | latitude>0 | search longitude>0,now-1d,now,*,total,gt,10,Splunk QL
"search batch=batch-5 | regex city=""^[A-L][a-z]+\s[a-zA-Z]+$""",now-1d,now,*,total,gt,5,Splunk QL
"search batch=batch-5 | regex city!=""^[A-L][a-z]+\s[a-zA-Z]+$""",now-1d,now,*,total,gt,50,Splunk QL
batch=batch-10|stats count,now-1d,now,*,group:count(*):*,eq,114,Splunk QL
batch=batch-10 | stats count,now-1d,now,*,group:count(*):*,eq,114,Splunk QL
batch=batch-10 | stats count(http_method),now-1d,now,*,group:count(http_method):*,eq,114,Splunk QL
batch=batch-10 | stats distinct_count(http_method),now-1d,now,*,group:cardinality(http_method):*,eq,6,Splunk QL
city=Boston | stats min(latitude),now-1d,now,*,group:min(latitude):*,eq,-89.901,Splunk QL
city=Boston | stats max(latitude),now-1d,now,*,group:max(latitude):*,eq,89.982,Splunk QL
city=Boston | stats range(latitude),now-1d,now,*,group:range(latitude):*,eq,179.884,Splunk QL
city=Boston | stats avg(latitude),now-1d,now,*,group:avg(latitude):*,eq,0.403,Splunk QL
city=Boston | stats sum(latitude),now-1d,now,*,group:sum(latitude):*,eq,416.553,Splunk QL
city=Boston | stats values(gender),now-1d,now,*,group:values(gender):*,eq,"female&nbspmale",Splunk QL
"batch=batch-10 | stats count, min(latitude), max(latitude)",now-1d,now,*,group:max(latitude):*,eq,89.228,Splunk QL
batch=batch-10 | stats count BY city,now-1d,now,*,group:count(*):St. Louis,eq,2,Splunk QL
"batch=batch-10 | stats count BY city, http_status",now-1d,now,*,group:count(*):St. Louis:200,eq,1,Splunk QL
"* | fields city, weekday",now-1d,now,*,total,gt,100,Splunk QL
"* | ```Only keep city and weekday columns``` fields city, weekday",now-1d,now,*,total,gt,100,Splunk QL
"* | fields http*",now-1d,now,*,total,gt,100,Splunk QL
city=Boston | stats count AS Count BY weekday,now-1d,now,*,group:Count:Monday,eq,145,Splunk QL
